epoch,bleu_1,bleu_2,bleu_3,bleu_4,training_loss
1.0,0.8417787424097958,0.7417308637298307,0.6171497128883866,0.06994872022606873,0.6017497112078231
2.0,0.856265403084428,0.7550167781301889,0.6287049506808488,0.0757392249326578,0.5297842642683483
3.0,0.8493984803036824,0.7496831364130472,0.6257739560495712,0.07510305039430587,0.5043944263109822
4.0,0.8313575249385572,0.7369520775386745,0.6181134292066006,0.07255623104174533,0.4856893087289115
5.0,0.8632605511915856,0.7646234770129757,0.642056738338366,0.08536839085321388,0.470336625480201
6.0,0.8516891225973002,0.7539968877640304,0.6323993913085908,0.07933652490271938,0.4573630147048947
7.0,0.8604923798358733,0.7603012139730652,0.6378387290493427,0.08275435346845013,0.4452954474096013
8.0,0.8374290654911225,0.7422527116632237,0.6229298126553358,0.07540275317963895,0.4350871896323608
9.0,0.8263163536319569,0.7325218118315574,0.6143845581656636,0.07103865326431996,0.4256438848256501
10.0,0.8492583518507967,0.7524743270427855,0.6321831305638256,0.08057561233811357,0.4177637253938991
11.0,0.8522043027990638,0.7539904261776564,0.63358139312852,0.08100508693568907,0.4100076825854959
12.0,0.8589513991547113,0.7609458303801616,0.6398522726731729,0.08478093131967805,0.4034871393036079
13.0,0.8404500668262207,0.7464688711439028,0.6289865557307881,0.07906423031009824,0.3973923598518429
14.0,0.8409517845961177,0.7463465932503774,0.6290934905456164,0.07979972198029514,0.3925540677301607
15.0,0.8570340770051805,0.7593557785356404,0.6380344599636426,0.08372309575410389,0.388345173602716
16.0,0.8558381873214485,0.7575804194116603,0.6364743955673411,0.08246450184684832,0.3829401845499543
17.0,0.8624682440684165,0.7659704958961601,0.6470692543268519,0.08951837317536843,0.3786972639459757
18.0,0.8500426431090009,0.7529625848572836,0.6322351572520051,0.0801878079205743,0.37610398470240974
19.0,0.8400373890014021,0.745633856034968,0.6280498475896538,0.0786857235966514,0.3716924270967655
20.0,0.8559882535707964,0.7590748279716042,0.6396206642738784,0.08518462295254645,0.3687195309561708
21.0,0.8515927490320309,0.7540649200886771,0.6329872464326427,0.08048819376531648,0.36655023157942457
22.0,0.860806345009914,0.7646169916636206,0.645087875106914,0.08836356795517816,0.3641373687422765
23.0,0.8355187359411862,0.742121503213192,0.6254026234731301,0.07761710646659725,0.362884265695519
24.0,0.833517136590327,0.7399678227279899,0.623592523075343,0.07670723982616759,0.3589179905773157
25.0,0.8606111841279696,0.7631979220435956,0.6419074253087942,0.08570330455035109,0.35808826399802546
26.0,0.8431702674347746,0.7485142110087389,0.6314686202267359,0.08127244737486246,0.3545113913402643
27.0,0.8500283904225389,0.7544798963619311,0.6365341989323149,0.08379199220348939,0.3545312248146357
28.0,0.8313727152189575,0.7382232596272211,0.6217383776979178,0.0757349061656539,0.3512767772891817
29.0,0.8693383758566193,0.7709817110909818,0.649274439434635,0.09041703919826938,0.3502041693531055
30.0,0.8332756768566902,0.7391203072419944,0.6228626938451943,0.07630335016855849,0.3482698284372985
31.0,0.8237555718422223,0.7328112847293753,0.6188938780006812,0.07512646220468548,0.34704579349848214
32.0,0.8469158380005334,0.7514467989991955,0.6319849056832606,0.0806216867523866,0.3454316477608532
33.0,0.8325489693396082,0.7391410919367313,0.6238586434799008,0.0775614061527303,0.34325775730207664
34.0,0.8475266755795474,0.7527260988771954,0.634876122698095,0.08310162303583707,0.34192382497682944
35.0,0.8567364199875126,0.7586749941913556,0.6381825816989749,0.0838552260900952,0.34350410164645123
36.0,0.8458760389336656,0.750909619622899,0.6325840887990771,0.08108339685058984,0.34025233006595207
37.0,0.8554704446415737,0.7589826020253291,0.6405822817139984,0.08589939699284672,0.34045097962671933
38.0,0.8459254516465168,0.7504230151100633,0.6317944573136781,0.08107262429324208,0.3376301138882173
39.0,0.8247724374607017,0.7335869946850504,0.6192794492589253,0.07526829809868901,0.3373842155346685
40.0,0.8372849981675539,0.7425985126664107,0.6266779244522152,0.07889273055608183,0.3373967032777912
41.0,0.8456908957180774,0.7493489522457933,0.6305202142902531,0.07994733795558213,0.33538462878452074
42.0,0.8364940992128138,0.7427550007321104,0.6250924588611156,0.07720789713049851,0.33585929419695626
43.0,0.8432593224806396,0.7474504746218888,0.6296205846433313,0.07988078240946633,0.3331684479015555
44.0,0.841743119266055,0.7457281645821333,0.628312883624529,0.07889049067480322,0.3339320628996078
45.0,0.8180347492177871,0.7267205698860169,0.6129449854218576,0.0717459692514622,0.33395556923960346
46.0,0.8657949345535809,0.7677187610482393,0.6479564381989592,0.09040331197301155,0.33198368639016496
47.0,0.8465172398383586,0.7500572277253188,0.6313721683332857,0.0803405922533548,0.3313115782156673
48.0,0.8638260517253021,0.7662469894540486,0.64738113800207,0.09026906866893773,0.33194866299296155
49.0,0.8457780659620142,0.7504698308753657,0.6328142814301211,0.08181221822184699,0.3307478720465963
50.0,0.8280639155137008,0.7354376191026503,0.6202939483267432,0.07535000587923414,0.328660556277536
